Khorn Victor,19,M,081323442,admin,v@gmail.com,1
Gran Torismo,24,F,0900000000,customer,f@gmail.com,2
Lara Croft,29,F,0811122233,cashier,lara@gmail.com,3
Chin Chang,40,M,0823344556,manager,johnw@gmail.com,4
Diana Prince,27,F,0856677889,customer,dianap@gmail.com,7
Clark Kent,32,M,0867788990,admin,clarkk@gmail.com,8
Natasha Romanoff,31,F,0878899001,cashier,natashar@gmail.com,9
Peter Parker,22,M,0889900112,customer,peterp@gmail.com,10
Selina Kyle,28,F,0890011223,customer,selinak@gmail.com,11
Tony Stark,45,M,0901122334,customer,tonys@gmail.com,12
So Vicheka,20,F,099999999,admin,kazin2@gmail.com,2
Gi GA MUS,99,M,0000000000,manager,c@gmail.com,34
